Kateg¢riaazonos°t¢;Kateg¢ria;ID;MegnevezÇs;MegnevezÇs a nyugt†n;Cikksz†m;Vonalk¢d;Elad†si †r, Ft;BeszerzÇsi †r, Ft;MÇrÇsi egysÇg ÇrtÇkes°tÇskor;MÇrtÇkegysÇg felhaszn†l†skor;Felhaszn†lhat¢ menyisÇgi egysÇg (KiszerelÇs);Nett¢ tîmeg, g.;Brutt¢ tîmeg, g.;Kritikus mennyisÇg;Kiv†nt mennyisÇg;MegjegyzÇs
289870;Alap-Çs fedãlakkok, fedãfÇnyek;6933989;Coat - Base / Top Coat 4ml;;;5,99906E+12;845;650;db.;ml;4;0;0;0;0;
289870;Alap-Çs fedãlakkok, fedãfÇnyek;6933990;Coat - Cuticle Oil Peach 15 ml;;;5,99906E+12;1164;895;db.;ml;15;0;0;0;0;
289871;µpol¢ olajok;6933991;Coat - Cuticle Oil Peach 4ml;;PNSA824;5,99906E+12;990;650;db.;ml;4;0;0;0;0;
289871;µpol¢ olajok;6933992;Coat - Cuticle Oil Pink 15 ml;;PNSA812;5,99906E+12;1190;895;db.;ml;15;0;0;0;0;
289871;µpol¢ olajok;6933993;Coat - Cuticle Oil Pink 4ml;;PNSA823;5,99906E+12;990;650;db.;ml;4;0;0;0;0;
289870;Alap-Çs fedãlakkok, fedãfÇnyek;6933994;Coat - Glass 15 ml;;;5,99955E+12;1157;890;db.;ml;15;0;0;0;0;
289870;Alap-Çs fedãlakkok, fedãfÇnyek;6933995;Coat - Glass 4ml;;;5,99906E+12;845;650;db.;ml;4;0;0;0;0;
289870;Alap-Çs fedãlakkok, fedãfÇnyek;6933996;Coat - Nail Hardener 15ml;;;5,99955E+12;1157;890;db.;ml;15;0;0;0;0;
289870;Alap-Çs fedãlakkok, fedãfÇnyek;6933997;Coat - Nail Hardener 4ml;;;5,99906E+12;845;650;db.;ml;4;0;0;0;0;
289908;Kîrîm egyÇb;6933998;Color Gel #167;;PNZ5167;5,99906E+12;2730;2100;db.;db.;1;0;0;0;0;
289908;Kîrîm egyÇb;6933999;Color Gel #202;;PNZ5202;5,99906E+12;2730;2100;db.;db.;1;0;0;0;0;
289908;Kîrîm egyÇb;6934000;Color Gel - Winning Violet #153;;PNZ5153;5,99906E+12;2730;2100;db.;db.;1;0;0;0;0;
289881;D°sz°tÇs;6934001;CreamGel krÇmzselÇ - FehÇr;;PNPG06;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934002;CreamGel krÇmzselÇ - Fekete;;PNPG09;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934003;CreamGel krÇmzselÇ - Lila;;PNPG07;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934004;CreamGel krÇmzselÇ - Piros;;PNPG11;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934005;CreamGel krÇmzselÇ - R¢zsasz°n;;PNPG08;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934006;CreamGel krÇmzselÇ - Zîld;;PNPG10;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934007;CreamGel krÇmzselÇ- EzÅst;;PNPG13;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934008;CreamGel krÇmzselÇ- Pezsgã;;PNPG12;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934009;CreamGel krÇmzselÇ-Bord¢;;PNPG14;5,99906E+12;3107;2390;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934010;Crystal pixie - City Chick;;PNDS1071;9,00965E+12;12337;9490;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934011;Crystal pixie - Exotic East;;PNDS1066;9,00965E+12;9750;7500;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934012;Crystal pixie - Feeling Wild;;PNDS1068;9,00965E+12;12337;9490;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934013;Crystal pixie - Future Fantasy;;PNDS1067;9,00965E+12;12337;9490;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934014;Crystal pixie - Midnight Dream;;PNDS1072;9,00965E+12;12337;9490;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934015;Crystal pixie - Street Star;;PNDS1070;9,00965E+12;12337;9490;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6934016;Crystal pixie - Urban Kiss;;PNDS1069;9,00965E+12;12337;9490;db.;db.;0;0;0;0;0;
289930;Pedik˚r;6934017;CrystalSpa bãrpuh°t¢ spray pedik˚rhîz;;;;2405;1850;db.;db.;1;0;0;0;0;
289874;Balzsamok;6934029;Csipkebogy¢ Gyant†z†s ut†ni balzsam;Csipkebogy¢ Gyant†z†s ut†ni balzsam;;;2672;2055;db.;ml;500;0;0;0;0;
289886;Eszkîzîk;6934041;Csisz.gy. befog¢ rozsdamentes;;PNG4110;5,99955E+12;1151;885;db.;db.;0;0;0;0;0;
289886;Eszkîzîk;6934042;Csiszol¢ gy˚r˚ 100 50db;;PNG4104;5,99906E+12;3627;2790;csom.;db.;50;0;0;0;0;
289886;Eszkîzîk;6934043;Csiszol¢ gy˚r˚ 80 50db;;PNG4103;5,99906E+12;3627;2790;csom.;db.;50;0;0;0;0;
289886;Eszkîzîk;6934044;Csiszol¢fej - arany finom°t†sh;;PNG4055;5,99906E+12;6877;5290;db.;db.;0;0;0;0;0;
289886;Eszkîzîk;6934045;Csiszol¢fej - ezÅst porcel†nho;;PNG4053;5,99906E+12;6877;5290;db.;db.;0;0;0;0;0;
289886;Eszkîzîk;6934046;Csiszol¢fej - ezÅst zselÇhez;;PNG4052;5,99906E+12;6877;5290;db.;db.;0;0;0;0;0;
